feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
chao1_Richness	Confinement	Level_3	0.117892547625232	0.0278389206429466	16	16	0.00140104054480363	0.0314827566190951
chao1_Richness	Confinement	Level_2	0.100683475476418	0.0272375771553253	16	16	0.00352307466359862	0.0314827566190951
pielou_evenness	Confinement	Level_3	-0.619640967547061	0.170554920623832	16	16	0.00393534457738689	0.0314827566190951
Bray_Curtis	Confinement	Level_3	-1.14876255613143	0.302368798841949	16	16	0.00294731190245821	0.0314827566190951
shannon	Confinement	Level_3	-0.405848790873559	0.120531626556887	16	16	0.00628377927919356	0.0371711543479157
Bray_Curtis	Confinement	Level_2	-0.978836877390305	0.295837385128912	16	16	0.0069695914402342	0.0371711543479157
pielou_evenness	Confinement	Level_2	-0.517640544650778	0.166870794643722	16	16	0.0100673558409773	0.04536866794731
simpson_evenness	Confinement	Level_2	-1.10215590444261	0.371176220380998	16	16	0.0127599378601809	0.04536866794731
shannon	Confinement	Level_2	-0.354108701908684	0.117928044700679	16	16	0.012020564367465	0.04536866794731
evar_evenness	Confinement	Level_3	-0.590836427278092	0.206840847951783	16	16	0.0156147053824889	0.0499670572239646
bulla_evenness	Confinement	Level_3	-0.54192464977838	0.201145969184589	16	16	0.0208724559089731	0.0607198717351945
simpson_evenness	Confinement	Level_3	-0.886701718772669	0.379370943487725	16	16	0.039359618854531	0.104958983612083
evar_evenness	Confinement	Level_2	-0.451583610908149	0.202372916221054	16	16	0.0474064452445948	0.10633767346229
bulla_evenness	Confinement	Level_2	-0.440470617453037	0.196801051499677	16	16	0.0468527209794004	0.10633767346229
Bray_Curtis	Time_point	3	0.369454703669542	0.167724032050016	16	16	0.0498457844354482	0.10633767346229
camargo_evenness	Confinement	Level_3	-0.471751016578089	0.240027217863284	16	16	0.0751184466448229	0.150236893289646
